constituencyId,name,parish
1,St. Andrew West Central,St. Andrew
2,Manchester Central,Manchester
4,Hanover Western,Hanover
5,Hanover Eastern,Hanover
6,Westmoreland Western,Westmoreland
7,Westmoreland Eastern,Westmoreland
8,Westmoreland Central,Westmoreland
9,St. Elizabeth South Western,St. Elizabeth
10,St. Elizabeth North Western,St. Elizabeth
11,St. James Southern,St. James
12,St. James West Central,St. James
13,St. James Central,St. James
14,St. James North Western,St. James
15,St. James East Central,St. James
16,Trelawny Northern,Trelawny
17,Trelawny Southern,Trelawny
18,St. Elizabeth North Eastern,St. Elizabeth
19,St. Elizabeth South Eastern,St. Elizabeth
20,Manchester Southern,Manchester
22,Manchester North Western,Manchester
23,Manchester North Eastern,Manchester
24,St. Ann South Western,St. Ann
25,St. Ann North Western,St. Ann
26,St. Ann North Eastern,St. Ann
27,St. Ann South Eastern,St. Ann
28,Clarendon North Western,Clarendon
29,Clarendon Northern,Clarendon
30,Clarendon North Central,Clarendon
31,Clarendon South Western,Clarendon
32,Clarendon Central,Clarendon
33,Clarendon South Eastern,Clarendon
34,St. Catherine South Western,St. Catherine
35,St. Catherine South Central,St. Catherine
36,St. Catherine Southern,St. Catherine
37,St. Catherine West Central,St. Catherine
38,St. Catherine North Western,St. Catherine
39,St. Catherine North Central,St. Catherine
40,St. Catherine Central,St. Catherine
41,St. Catherine Eastern,St. Catherine
42,St. Catherine North Eastern,St. Catherine
43,St. Mary Western,St. Mary
44,St. Mary Central,St. Mary
45,St. Mary South Eastern,St. Mary
46,St. Andrew West Rural,St. Andrew
47,St. Andrew East Rural,St. Andrew
48,Portland Western,Portland
49,St. Thomas Western,St. Thomas
50,Portland Eastern,Portland
51,St. Thomas Eastern,St. Thomas
52,St. Catherine South Eastern,St. Catherine
53,St. Catherine East Central,St. Catherine
54,St. Andrew Western,St. Andrew
55,St. Andrew North Western,St. Andrew
56,St. Andrew North Central,St. Andrew
57,St. Andrew North Eastern,St. Andrew
58,St. Andrew South Eastern,St. Andrew
59,St. Andrew Eastern,St. Andrew
60,Kingston Eastern,Kingston
61,Kingston Central,Kingston
62,Kingston Western,Kingston
63,St. Andrew South Western,St. Andrew
64,St. Andrew East Central,St. Andrew
65,St. Andrew Southern,St. Andrew